date,open,high,low,close,volume
2024-01-01,2491.62,2498.9,2484.95,2490.69,18518451
2024-01-02,2495.04,2514.66,2438.32,2457.86,22000000
2024-01-03,2462.09,2483.99,2436.26,2442.34,18633470
2024-01-04,2447.83,2453.19,2437.9,2442.46,9529389
2024-01-05,2444.84,2451.67,2441.06,2444.28,9609876
2024-01-08,2432.24,2435.98,2412.36,2420.62,22000000
2024-01-09,2419.16,2471.79,2393.11,2459.04,20780191
2024-01-10,2468.44,2473.18,2429.21,2444.21,20799813
2024-01-11,2453.12,2469.12,2440.91,2447.1,10545121
2024-01-12,2444.4,2458.07,2440.28,2449.91,19247356
2024-01-15,2444.7,2464.46,2413.44,2425.79,15127246
2024-01-16,2435.96,2457.08,2421.81,2447.78,20377210
2024-01-17,2447.71,2475.49,2441.75,2459.69,11295633
2024-01-18,2449.93,2458.07,2444.04,2451.05,17462251
2024-01-19,2446.77,2499.66,2419.87,2478.43,22000000
2024-01-23,2482.95,2578.16,2474.67,2555.32,22000000
2024-01-24,2547.33,2569.79,2528.76,2564.77,22000000
2024-01-25,2559.47,2590.72,2541.07,2583.39,22000000
2024-01-29,2589.32,2597.71,2573.62,2580.94,19884412
2024-01-30,2580.1,2586.72,2556.61,2568.57,20857892
2024-01-31,2564.48,2630.78,2547.76,2608.58,22000000
2024-02-01,2620.83,2625.52,2576.19,2579.62,22000000
2024-02-02,2579.12,2582.38,2573.92,2577.0,10514233
2024-02-05,2576.43,2592.0,2547.09,2561.83,21962244
2024-02-06,2570.88,2578.84,2557.74,2562.66,10769854
2024-02-07,2560.64,2570.16,2547.0,2566.49,18360951
2024-02-08,2569.8,2579.21,2563.62,2575.31,22000000
2024-02-09,2581.94,2613.92,2571.16,2603.8,12587536
2024-02-12,2611.21,2636.05,2594.31,2627.15,22000000
2024-02-13,2627.6,2644.08,2618.32,2625.07,15518697
2024-02-14,2611.18,2623.48,2605.35,2618.62,7617767
2024-02-15,2615.79,2620.13,2611.2,2615.7,13640378
2024-02-16,2619.03,2637.07,2607.17,2633.55,19396864
2024-02-19,2629.83,2656.29,2617.69,2652.43,22000000
2024-02-20,2658.12,2664.9,2638.65,2643.07,19661792
2024-02-21,2647.95,2667.23,2585.36,2599.83,19919464
2024-02-22,2597.6,2601.79,2571.22,2577.45,18442018
2024-02-23,2581.25,2608.0,2540.77,2555.9,22000000
2024-02-26,2549.67,2561.03,2491.82,2516.79,22000000
2024-02-27,2522.18,2534.78,2511.05,2526.95,17452287
2024-02-28,2544.44,2563.53,2524.99,2528.64,10124754
2024-02-29,2545.01,2578.32,2531.52,2565.18,18244539
2024-03-01,2561.03,2600.54,2547.96,2592.38,22000000
2024-03-04,2594.36,2613.24,2582.72,2609.49,22000000
2024-03-05,2603.01,2621.53,2589.28,2601.38,22000000
2024-03-06,2606.13,2611.64,2599.51,2603.28,18631015
2024-03-07,2595.21,2615.1,2589.09,2608.36,17700104
2024-03-11,2609.87,2619.17,2601.44,2606.14,17400502
2024-03-12,2602.03,2623.27,2597.96,2616.99,22000000
2024-03-13,2624.68,2635.58,2602.72,2606.23,22000000
2024-03-14,2616.75,2624.08,2602.58,2607.38,16100642
2024-03-15,2616.35,2627.39,2558.32,2562.79,22000000
2024-03-18,2560.98,2585.14,2528.38,2535.79,22000000
2024-03-19,2530.1,2587.76,2493.39,2581.1,22000000
2024-03-20,2574.94,2583.31,2563.87,2578.56,11188960
2024-03-21,2573.61,2595.86,2566.52,2584.37,9979894
2024-03-22,2573.72,2609.23,2560.62,2595.97,22000000
2024-03-26,2592.7,2646.41,2574.14,2630.46,16932582
2024-03-27,2628.72,2653.83,2624.62,2648.12,22000000
2024-03-28,2639.31,2653.99,2615.09,2629.32,19381279
2024-04-01,2631.99,2650.36,2611.91,2627.03,16849771
2024-04-02,2641.2,2649.6,2630.22,2639.78,10768962
2024-04-03,2646.42,2666.67,2630.62,2659.55,21387572
2024-04-04,2644.06,2695.37,2635.68,2680.56,22000000
2024-04-05,2684.69,2703.06,2647.1,2657.47,17474960
2024-04-08,2662.14,2682.27,2633.64,2637.83,13796399
2024-04-09,2640.92,2647.1,2631.84,2638.14,5900371
2024-04-10,2631.25,2658.87,2603.34,2655.43,22000000
2024-04-12,2658.19,2684.82,2600.68,2620.89,22000000
2024-04-15,2606.61,2634.73,2593.99,2627.57,13411964
2024-04-16,2615.08,2637.37,2594.49,2621.73,15432940
2024-04-18,2615.81,2662.38,2594.19,2652.27,18606719
2024-04-19,2659.38,2668.78,2654.22,2660.83,22000000
2024-04-22,2668.01,2672.42,2617.25,2640.31,16034860
2024-04-23,2648.7,2699.76,2625.41,2692.12,22000000
2024-04-24,2701.16,2711.64,2693.82,2702.61,14933328
2024-04-25,2689.89,2696.34,2667.04,2675.09,22000000
2024-04-26,2670.56,2728.56,2662.46,2706.75,22000000
2024-04-29,2701.53,2734.7,2684.73,2722.74,22000000
2024-04-30,2721.81,2730.92,2709.35,2727.15,6304708
2024-05-02,2731.63,2747.24,2710.27,2718.2,10118343
2024-05-03,2726.89,2752.87,2710.86,2738.05,22000000
2024-05-06,2728.52,2776.69,2719.72,2758.71,22000000
2024-05-07,2748.32,2777.29,2739.85,2767.92,16557950
2024-05-08,2772.81,2787.33,2760.03,2768.52,12066994
2024-05-09,2774.06,2788.48,2764.07,2782.8,22000000
2024-05-10,2783.28,2793.8,2773.08,2788.84,12753511
2024-05-13,2786.42,2793.7,2775.41,2782.56,11805969
2024-05-14,2795.25,2808.7,2782.93,2795.99,12519360
2024-05-15,2789.57,2817.33,2766.02,2804.68,22000000
2024-05-16,2811.94,2816.69,2806.06,2809.53,7093107
2024-05-17,2828.08,2833.47,2804.88,2808.1,9317988
2024-05-20,2809.08,2820.07,2798.33,2802.11,7603263
2024-05-21,2802.65,2814.5,2778.69,2789.4,9987654
2024-05-22,2799.62,2809.87,2787.45,2801.39,15907367
2024-05-24,2797.74,2838.53,2793.39,2825.68,22000000
2024-05-27,2833.6,2865.68,2825.83,2861.44,22000000
2024-05-28,2868.27,2884.85,2860.76,2881.46,17361070
2024-05-29,2879.09,2906.5,2867.84,2895.12,22000000
2024-05-30,2898.86,2911.56,2894.68,2906.96,9193839
2024-05-31,2896.59,2934.91,2880.19,2922.13,15743521
2024-06-03,2925.8,2936.01,2907.76,2918.81,16967127
2024-06-04,2917.7,2937.45,2905.63,2924.34,6727784
